CASEID,ENQUIRYTYPEID,SUBJECTNAME,REASONNAME,TYPENAME,TITLE,OPENEDDATETIMESTRING,CASESTATUS,ADDRESS,ZIP,CLOSEDDATETIMESTRING,LastUpdateDate,EndDate,EndTime,StartDate,StartTime,LATITUDE,LONGITUDE
5000013,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,31/07/18 11:06,0,WESTVIEW DR,78664,01/08/18 16:06,19/02/19 11:18,07/31/2018,11:06 AM,07/31/2018,11:06 AM,30.49361206,-97.63064044
5000039,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: MN 2AA006 - Pct # 4,23/07/18 11:44,0, , ,25/07/18 23:44,19/02/19 11:18,07/23/2018,11:44 AM,07/23/2018,11:44 AM,30.58993,-97.710114
5000041,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: MN 826KLZ - Pct # 4,23/07/18 11:48,0,RM 1431,78681,26/07/18 02:48,19/02/19 11:18,07/23/2018,11:48 AM,07/23/2018,11:48 AM,30.555808,-97.696371
5000057,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,04/09/18 08:19,0,FORT GRANT DR,78665,07/09/18 16:19,19/02/19 11:18,09/04/2018,08:19 AM,09/04/2018,08:19 AM,30.49992665,-97.63642921
5000074,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Rubbish,05/09/18 16:53,0,ABBEY RD,78681,07/09/18 00:53,19/02/19 11:18,09/05/2018,04:53 PM,09/05/2018,04:53 PM,30.49651324,-97.69192452
5000094,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: MN 008LNP - Pct # 2,18/09/18 08:45,0,HIDDEN ACRES DR,78665,21/09/18 08:45,19/02/19 11:18,09/18/2018,08:45 AM,09/18/2018,08:45 AM,30.52249001,-97.65001494
5000097,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: MN 469KTZ - Pct # 5,11/09/18 10:00,0, , ,15/09/18 02:00,19/02/19 11:18,09/11/2018,10:00 AM,09/11/2018,10:00 AM,30.463069,-97.71508512
5000161,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Tree,12/09/18 14:35,0, , ,15/09/18 21:35,19/02/19 11:18,09/12/2018,02:35 PM,09/12/2018,02:35 PM,30.47106462,-97.61989032
5000175,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,07/08/18 15:36,0,S KENNEY FORT BLVD,78665,10/08/18 20:36,19/02/19 11:18,08/07/2018,03:36 PM,08/07/2018,03:36 PM,30.50284357,-97.63594374
5000226,101001068,Animal Related,Animal Control,Animal Complaint - Livability,Animal Complaint - Livability,20/06/18 09:14,0,CREEK BEND BLVD,78681,24/06/18 09:14,19/02/19 11:18,06/20/2018,09:14 AM,06/20/2018,09:14 AM,30.527575,-97.711607
5000258,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,20/06/18 11:11,0,CARLIN CV,78681,21/06/18 16:11,19/02/19 11:18,06/20/2018,11:11 AM,06/20/2018,11:11 AM,30.496197,-97.692636
5000272,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,20/06/18 12:09,0,LYNDA SUE ST,78681,24/06/18 20:09,19/02/19 11:18,06/20/2018,12:09 PM,06/20/2018,12:09 PM,30.48668,-97.693615
5000317,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: MN 122CJR - Pct # 4,28/06/18 19:12,0,RM 1431,78681,01/07/18 05:12,19/02/19 11:18,06/28/2018,07:12 PM,06/28/2018,07:12 PM,30.561837,-97.705228
5000347,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Vehicle,01/07/18 08:47,0,STRATFORD CV,78664,05/07/18 08:47,19/02/19 11:18,07/01/2018,08:47 AM,07/01/2018,08:47 AM,30.48985,-97.666525
5000367,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,01/07/18 09:37,0, , ,05/07/18 10:37,19/02/19 11:18,07/01/2018,09:37 AM,07/01/2018,09:37 AM,30.44828,-97.681313
