master_incident_number,response_date,StartDate,EndDate,problem,call_disposition,priority_number,LastUpdateDate,latitude,longitude
1244863,30/11/18 20:43,Nov 30 2018  8:43PM,Nov 30 2018  8:43PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.39942,-97.760785
1245211,30/11/18 22:17,Nov 30 2018 10:17PM,Nov 30 2018 10:17PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.40205,-97.700235
1254881,08/09/18 03:28,Sep  8 2018  3:28AM,Sep  8 2018  3:28AM,Assist Other Agency,AST-Assist,2,19/02/19 12:14,30.43063,-97.665985
1421508,03/01/18 14:58,Jan  3 2018  2:58PM,Jan  3 2018  2:58PM,Road Hazard,AST-Assist,3,19/02/19 12:14,30.43066,-97.751165
1030837,30/04/18 22:56,Apr 30 2018 10:56PM,Apr 30 2018 10:56PM,Disturbance,ADV-Advised,2,19/02/19 12:14,30.431568,-97.681068
1551021,01/10/18 18:55,Oct  1 2018  6:55PM,Oct  1 2018  6:55PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.43161,-97.664025
1287419,21/03/18 22:46,Mar 21 2018 10:46PM,Mar 21 2018 10:46PM,Suspicious Person,BKG-Booking,2,19/02/19 12:14,30.432054,-97.681067
1786827,26/09/18 08:54,Sep 26 2018  8:54AM,Sep 26 2018  8:54AM,Suspicious Vehicle,INF-Information,2,19/02/19 12:14,30.4321,-97.694835
1298096,07/03/18 21:29,Mar  7 2018  9:29PM,Mar  7 2018  9:29PM,Prowler,GOA-Gone on Arrival,2,19/02/19 12:14,30.432232,-97.663391
1383449,24/03/18 19:33,Mar 24 2018  7:33PM,Mar 24 2018  7:33PM,Domestic Abuse-In Progress,DTX-Detox,1,19/02/19 12:14,30.432364,-97.681066
1155912,22/11/18 23:55,Nov 22 2018 11:55PM,Nov 22 2018 11:55PM,Music-Loud,AQT-All Quiet,3,19/02/19 12:14,30.432416,-97.681231
1191639,14/02/18 18:54,Feb 14 2018  6:54PM,Feb 14 2018  6:54PM,Lost Child,,2,19/02/19 12:14,30.432416,-97.681231
1208592,01/08/18 00:37,Aug  1 2018 12:37AM,Aug  1 2018 12:37AM,Disturbance,GOA-Gone on Arrival,2,19/02/19 12:14,30.432416,-97.681231
1555902,04/03/18 21:21,Mar  4 2018  9:21PM,Mar  4 2018  9:21PM,Unwanted Person,CNL-Cancel,2,19/02/19 12:14,30.433141,-97.681064
1530292,05/09/18 17:34,Sep  5 2018  5:34PM,Sep  5 2018  5:34PM,Burglary Dwlng - Report,RPT-Report,2,19/02/19 12:14,30.433787,-97.66582
1272716,17/12/18 18:07,Dec 17 2018  6:07PM,Dec 17 2018  6:07PM,Theft,UNF-Unfounded,1,19/02/19 12:14,30.433814,-97.684889
1029517,22/04/18 06:46,Apr 22 2018  6:46AM,Apr 22 2018  6:46AM,Suspicious Vehicle,AOK- All OK,2,19/02/19 12:14,30.43385,-97.691535
1215169,26/02/18 14:05,Feb 26 2018  2:05PM,Feb 26 2018  2:05PM,Receive Information,ADV-Advised,3,19/02/19 12:14,30.433983,-97.670748
1304406,14/02/18 08:18,Feb 14 2018  8:18AM,Feb 14 2018  8:18AM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.434147,-97.635388
1636829,13/10/18 13:34,Oct 13 2018  1:34PM,Oct 13 2018  1:34PM,Audible Residential Alarm,FAL-False,1,19/02/19 12:14,30.434159,-97.657037
1558595,28/03/18 02:24,Mar 28 2018  2:24AM,Mar 28 2018  2:24AM,Assault in Progress,INF-Information,1,19/02/19 12:14,30.434333,-97.681059
1736401,24/09/18 10:51,Sep 24 2018 10:51AM,Sep 24 2018 10:51AM,Traffic Law Enforcement,BKG-Booking,4,19/02/19 12:14,30.43435,-97.675195
1047645,04/04/18 08:02,Apr  4 2018  8:02AM,Apr  4 2018  8:02AM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.43441,-97.711535
1058506,21/06/18 02:07,Jun 21 2018  2:07AM,Jun 21 2018  2:07AM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.43451,-97.721745
