ID,Status,StartDate,Year,EndDate,Name,Street,ZIP,M,Description,Latitude,Longitude
7000000,APPROVED,20/09/18 00:00,2019,20/09/19 00:00,Business 557236635,LOUIS HENNA BLVD,78664,E,FOOD RESTAURANT,30.4881401,-97.631755
7000001,APPROVED,29/03/18 00:00,2019,29/03/19 00:00,Business 1098131178,LOUIS HENNA BLVD,78664,E,FOOD CONFECTIONERY,30.4881201,-97.633625
7000002,APPROVED,18/10/18 00:00,2019,18/10/19 00:00,Business 1871274675,MEISTER PL,78664,P,LIQ ON-SALE C-1 SERIES 4000,30.4871801,-97.636845
7000004,APPROVED,04/10/18 00:00,2019,04/10/19 00:00,Business 1104300454,MEISTER PL,78664,P,LIQ ON-SALE C-1 SERIES 4000,30.4871801,-97.636845
7000005,APPROVED,04/10/18 00:00,2019,04/10/19 00:00,Business 1377328257,MEISTER PL,78664,P,LIQ ON-SALE C-1 SERIES 4000,30.4871801,-97.636845
7000006,APPROVED,29/03/18 00:00,2019,29/03/19 00:00,Business 551774432,MEISTER PL,78664,S,FOOD GROCERY,30.4878701,-97.635685
7000007,APPROVED,29/03/18 00:00,2019,29/03/19 00:00,Business 878983157,MEISTER PL,78664,S,FOOD MEAT MARKET,30.4878701,-97.635685
7000008,APPROVED,29/03/18 00:00,2019,29/03/19 00:00,Business 1626883299,LOUIS HENNA BLVD,78664,S,WINE C-2 W/STRONG BEER,30.4881101,-97.635685
7000009,APPROVED,07/03/18 00:00,2019,07/03/19 00:00,Business 1448065138,LOUIS HENNA BLVD,78664,S,FOOD CATERERS,30.4881101,-97.635685
7000010,APPROVED,07/03/18 00:00,2019,07/03/19 00:00,Business 1708006691,LOUIS HENNA BLVD,78664,S,FOOD SIDEWALK CAFE,30.4881101,-97.635685
7000011,APPROVED,25/04/18 00:00,2019,25/04/19 00:00,Business 1680490214,LOUIS HENNA BLVD,78664,E,LIQ ON-SALE B W/SS SERIES 2000,30.4881901,-97.635685
7000012,APPROVED,10/05/18 00:00,2019,10/05/19 00:00,Business 85026951,LOUIS HENNA BLVD,78664,E,FOOD CATERERS,30.4881901,-97.635685
7000013,APPROVED,28/06/18 00:00,2019,28/06/19 00:00,Business 1952073652,LOUIS HENNA BLVD,78664,E,LIQ ON-SALE A W/SS SERIES 3000,30.4881901,-97.635685
7000014,APPROVED,12/04/18 00:00,2019,12/04/19 00:00,Business 1223121476,LOUIS HENNA BLVD,78664,E,SPECIAL LATE HOURS FOOD,30.4881901,-97.635685
7000015,APPROVED,12/04/18 00:00,2019,12/04/19 00:00,Business 1109433885,LOUIS HENNA BLVD,78664,E,FOOD SIDEWALK CAFE,30.4881901,-97.635685
7000016,APPROVED,29/03/18 00:00,2019,29/03/19 00:00,Business 29933065,LOUIS HENNA BLVD,78664,E,FOOD SIDEWALK CAFE,30.4881901,-97.635685
7000017,APPROVED,04/10/18 00:00,2019,04/10/19 00:00,Business 313379884,LOUIS HENNA BLVD,78664,E,LIQ OFF-SALE SERIES 4000,30.4882101,-97.636725
7000018,APPROVED,12/04/18 00:00,2019,12/04/19 00:00,Business 565179923,LOUIS HENNA BLVD,78664,E,WINE E W/STRONG BEER,30.4881901,-97.636375
7000019,INACTIVE,16/08/18 00:00,2019,16/08/19 00:00,Business 1782276514,MEISTER PL,78664,P,WINE E W/STRONG BEER,30.4878401,-97.636435
7000020,APPROVED,10/05/18 00:00,2019,10/05/19 00:00,Business 846223067,MEISTER PL,78664,P,WINE E W/STRONG BEER,30.4878401,-97.636435
7000021,APPROVED,30/08/18 00:00,2019,30/08/19 00:00,Business 1932918573,MEISTER PL,78664,P,FOOD CATERERS,30.4878401,-97.636435
7000022,APPROVED,29/03/18 00:00,2019,29/03/19 00:00,Business 533665469,LOUIS HENNA BLVD,78664,P,FOOD RESTAURANT,30.4879801,-97.639255
7000023,APPROVED,15/11/18 00:00,2019,15/11/19 00:00,Business 1815578312,LOUIS HENNA BLVD,78664,P,LIQUOR TEMPORARY ON-SALE,30.4879801,-97.637455
7000024,APPROVED,29/03/18 00:00,2019,29/03/19 00:00,Business 927063922,MONICA LN,78664,P,FOOD MOBILE  VENDOR,30.4839101,-97.636395
7000025,APPROVED,29/03/18 00:00,2019,29/03/19 00:00,Business 149503307,MONICA LN,78664,P,FOOD GROCERY,30.4826801,-97.636795
7000026,APPROVED,15/11/18 00:00,2019,15/11/19 00:00,Business 1200996809,MONICA LN,78664,P,LIQUOR TEMPORARY ON-SALE,30.4832401,-97.633825
7000027,APPROVED,29/03/18 00:00,2019,29/03/19 00:00,Business 1441312429,MONICA LN,78664,P,FOOD SIDEWALK CAFE,30.4832401,-97.633825
7000028,APPROVED,29/03/18 00:00,2019,29/03/19 00:00,Business 267317501,MONICA LN,78664,P,FOOD RESTAURANT,30.4832401,-97.633825
7000029,APPROVED,29/03/18 00:00,2019,29/03/19 00:00,Business 186687392,SH 45,78664,E,FOOD MARKET DISTRIBUTOR,30.4874701,-97.642375
7000030,APPROVED,25/04/18 00:00,2019,25/04/19 00:00,Business 1840330832,SH 45,78664,E,FOOD MARKET MANUFACTURER,30.4874701,-97.642375
7000031,APPROVED,12/04/18 00:00,2019,12/04/19 00:00,Business 1655546812,SH 45,78664,E,FOOD MARKET MANUFACTURER,30.4874701,-97.642375
7000032,APPROVED,25/04/18 00:00,2019,25/04/19 00:00,Business 1513218037,LOUIS HENNA BLVD,78664,E,FOOD MOBILE VEHICLE VENDOR,30.4881401,-97.648185
7000033,APPROVED,19/07/18 00:00,2019,19/07/19 00:00,Business 1660427345,LOUIS HENNA BLVD,78664,E,FOOD RESTAURANT,30.4881401,-97.648185
7000034,APPROVED,25/04/18 00:00,2019,25/04/19 00:00,Business 125998038,LOUIS HENNA BLVD,78664,E,FOOD GROCERY,30.4881401,-97.648185
7000035,APPROVED,25/04/18 00:00,2019,25/04/19 00:00,Business 122700715,LOUIS HENNA BLVD,78664,E,FOOD MEAT MARKET,30.4881401,-97.648185
7000036,APPROVED,29/03/18 00:00,2019,29/03/19 00:00,Business 1180626718,LOUIS HENNA BLVD,78664,E,FOOD SHELF,30.4882101,-97.648725
7000037,APPROVED,24/05/18 00:00,2019,24/05/19 00:00,Business 1224762068,S A W GRIMES BLVD,78664,S,FOOD CATERERS,30.4881101,-97.649985
7000038,APPROVED,24/05/18 00:00,2019,24/05/19 00:00,Business 1219452490,S A W GRIMES BLVD,78664,S,FOOD RESTAURANT,30.4881101,-97.649985
7000039,APPROVED,07/03/18 00:00,2019,07/03/19 00:00,Business 1677163104,S A W GRIMES BLVD,78664,E,FOOD GROCERY,30.4881101,-97.649985
7000040,APPROVED,07/03/18 00:00,2019,07/03/19 00:00,Business 2046729178,S A W GRIMES BLVD,78664,E,FOOD MEAT MARKET,30.4881101,-97.649985
7000041,APPROVED,29/03/18 00:00,2019,29/03/19 00:00,Business 1076393292,S A W GRIMES BLVD,78664,S,FOOD GROCERY,30.4845901,-97.649975
