APN,PERMITID,TYPE,PERMIT,DECISION,LIQUOR_TYPE,STATUS,ISSUEDATE,EXPIRE_YEAR,EXPIRE_DATE,ESTABLISHMENT_NUM,ESTABLISHMENT_NAME,TYPE_DESCRIPTION,ADDRESS,ZIP,StartDate,EndDate,LATITUDE,LONGITUDE,LastUpdateDate
5000184,20184,"L305",20184,"APPROVED","Off Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400184,"Business 450923291","OFF SALE MALT LIQUOR SERIES 1000","GREENHILL DR",78665,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.54182,-97.683625,19/02/19 14:40
5000435,20435,"L311",20435,"APPROVED","Off Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400435,"Business 981149209","OFF SALE MALT LIQUOR SERIES 2000","SUGAR BERRY CV",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.51348,-97.650755,19/02/19 14:40
5000014,20014,"L312",20014,"PENDING","Off Sale","OPEN","08/31/2017 12:00:00 AM",2019,"08/31/2019 12:00:00 AM",400014,"Business 1222217969","OFF SALE MALT LIQUOR SERIES 3000","MONICA LN",78664,"08/31/2017 12:00:00 AM","08/31/2019 12:00:00 AM",30.47868,-97.635535,19/02/19 14:40
5000000,20000,"L313",20000,"APPROVED","Off Sale","OPEN","10/19/2017 12:00:00 AM",2019,"10/19/2019 12:00:00 AM",400000,"Business 610026809","OFF SALE MALT LIQUOR SERIES 4000","MEISTER PL",78664,"10/19/2017 12:00:00 AM","10/19/2019 12:00:00 AM",30.48718,-97.636845,19/02/19 14:40
5000001,20001,"L313",20001,"APPROVED","Off Sale","OPEN","10/05/2017 12:00:00 AM",2019,"10/05/2019 12:00:00 AM",400001,"Business 1989349317","OFF SALE MALT LIQUOR SERIES 4000","MEISTER PL",78664,"10/05/2017 12:00:00 AM","05/10/2019 12:00:00 AM",30.48718,-97.636845,19/02/19 14:40
5000032,20032,"L313",20032,"APPROVED","Off Sale","OPEN","08/02/2017 12:00:00 AM",2019,"08/02/2019 12:00:00 AM",400032,"Business 904450328","OFF SALE MALT LIQUOR SERIES 4000","FALLING BROOK CT",78665,"08/02/2017 12:00:00 AM","02/08/2019 12:00:00 AM",30.5656,-97.673445,19/02/19 14:40
5000135,20135,"L313",20135,"APPROVED","Off Sale","OPEN","11/16/2017 12:00:00 AM",2019,"11/16/2019 12:00:00 AM",400135,"Business 1599024175","OFF SALE MALT LIQUOR SERIES 4000","CHANDLER CREEK BLVD",78665,"11/16/2017 12:00:00 AM","11/16/2019 12:00:00 AM",30.53917,-97.649645,19/02/19 14:40
5000155,20155,"L313",20155,"APPROVED","Off Sale","OPEN","05/10/2017 12:00:00 AM",2019,"05/10/2019 12:00:00 AM",400155,"Business 1241823684","OFF SALE MALT LIQUOR SERIES 4000","WILDERNESS PATH",78665,"05/10/2017 12:00:00 AM","10/05/2019 12:00:00 AM",30.5412,-97.669345,19/02/19 14:40
5000255,20255,"L313",20255,"APPROVED","Off Sale","OPEN","05/24/2017 12:00:00 AM",2019,"05/24/2019 12:00:00 AM",400255,"Business 1087585444","OFF SALE MALT LIQUOR SERIES 4000","E BOWMAN RD",78664,"05/24/2017 12:00:00 AM","05/24/2019 12:00:00 AM",30.52502,-97.682075,19/02/19 14:40
5000257,20257,"L313",20257,"APPROVED","Off Sale","OPEN","05/10/2017 12:00:00 AM",2019,"05/10/2019 12:00:00 AM",400257,"Business 2022187474","OFF SALE MALT LIQUOR SERIES 4000","E BOWMAN RD",78664,"05/10/2017 12:00:00 AM","10/05/2019 12:00:00 AM",30.52502,-97.682075,19/02/19 14:40
