CASE#,citycode,caseyear,casenbr,reporteddate,offense,address,ResultCode,ARREST,OFFENSE_CODE,LastUpdateDate,begindate,StartDate,StartTime,EndDate,EndTime,latitude,longitude
3000081,RR,2018,500081,02/10/18 16:24,VDNCO,BRUSHY CREEK DR,4,No,99,19/02/19 12:18,13/09/18 00:00,09/13/2018,12:00 AM,09/13/2018,12:00 AM,30.51637929,-97.66919798
3000240,RR,2018,500240,28/01/18 10:23,WT,BECCA TEAL PL,2,Yes,99,19/02/19 12:18,28/01/18 10:23,01/28/2018,10:23 AM,01/28/2018,10:23 AM,30.53924077,-97.69858641
3000276,RR,2018,500276,27/01/18 23:15,WT,W LOGAN ST,1,Yes,99,19/02/19 12:18,27/01/18 18:32,01/27/2018,06:32 PM,01/27/2018,06:32 PM,30.50289052,-97.67805571
3000291,RR,2018,500291,27/01/18 23:51,CURFEW,FRIARCREEK LOOP,2,Yes,42,19/02/19 12:18,27/01/18 23:45,01/27/2018,11:45 PM,01/27/2018,11:45 PM,30.48845189,-97.66054625
3000434,RR,2018,500434,03/10/18 15:48,THEFT, ,4,No,7,19/02/19 12:18,01/09/18 00:01,09/01/2018,12:01 AM,01/09/2018,12:01 AM,30.47878926,-97.62825865
3000461,RR,2018,500461,29/01/18 01:03,NOINS,CHISHOLM VALLEY DR,2,Yes,99,19/02/19 12:18,28/01/18 23:54,01/28/2018,11:54 PM,01/28/2018,11:54 PM,30.48844044,-97.69487852
3000462,RR,2018,500462,29/01/18 01:05,DAS,WYOMING SPRINGS DR,1,Yes,99,19/02/19 12:18,28/01/18 22:10,01/28/2018,10:10 PM,01/28/2018,10:10 PM,30.54864018,-97.71683592
3000530,RR,2018,500530,29/01/18 11:15,DAS,SERVICE,4,Yes,99,19/02/19 12:18,29/01/18 11:04,01/29/2018,11:04 AM,01/29/2018,11:04 AM,30.54550068,-97.68675322
3000636,RR,2018,500636,19/09/18 14:25,NARC,WINDRIFT WAY,2,No,28,19/02/19 12:18,19/09/18 14:30,09/19/2018,02:30 PM,09/19/2018,02:30 PM,30.48844044,-97.66308684
3000662,RR,2018,500662,30/01/18 15:04,THEFT,HERITAGE CENTER CIR,1,Yes,7,19/02/19 12:18,30/01/18 14:15,01/30/2018,02:15 PM,01/30/2018,02:15 PM,30.51705067,-97.6753549
