PID,ADDRESS,ZIP,TYPE,PERMIT,DECISION,PER_TYPE_DESC,STATUS,StartDate,StartTime,EndDate,EndTime,ISSUEDATE,EXPIRE_YEAR,EXPIRE_DATE,PER_TYPE,CON_N AME,PER_DECISION,APN,X,Y,LATITUDE,LONGITUDE,LastUpdateDate
1000016,"W PFLUGERVILLE PKWY",78664,"L033",20016,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",05/03/18 00:00,2013,01/04/19 00:00,"L033","Event 556290517","INACTIVE",5000016,-10381443.5705,5611546.953,30.47669,-97.661045,19/02/19 14:46
1000017,"W PFLUGERVILLE PKWY",78664,"L033",20017,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",20/05/18 00:00,2013,01/04/19 00:00,"L033","Event 199706727","INACTIVE",5000017,-10381443.5705,5611546.953,30.47669,-97.661045,19/02/19 14:46
1000018,"W PFLUGERVILLE PKWY",78664,"L033",20018,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",22/01/18 00:00,2013,01/04/19 00:00,"L033","Event 2089148166","INACTIVE",5000018,-10381443.5705,5611546.953,30.47669,-97.661045,19/02/19 14:46
1000020,"W PFLUGERVILLE PKWY",78664,"L033",20020,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",25/01/18 00:00,2013,01/04/19 00:00,"L033","Event 1935472380","INACTIVE",5000020,-10381443.5705,5611546.953,30.47669,-97.661045,19/02/19 14:46
1000021,"W PFLUGERVILLE PKWY",78664,"L033",20021,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",19/05/18 00:00,2013,01/04/19 00:00,"L033","Event 1450518111","INACTIVE",5000021,-10381443.5705,5611546.953,30.47669,-97.661045,19/02/19 14:46
1000036,"W PFLUGERVILLE PKWY",78664,"L033",20036,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",16/01/18 00:00,2013,01/04/19 00:00,"L033","Event 199365444","INACTIVE",5000036,-10381443.5705,5611546.953,30.47669,-97.661045,19/02/19 14:46
1000038,"W PFLUGERVILLE PKWY",78664,"L033",20038,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",31/12/18 00:00,2013,01/04/19 00:00,"L033","Event 1518155927","INACTIVE",5000038,-10381443.5705,5611546.953,30.47669,-97.661045,19/02/19 14:46
1000043,"DELL WAY",78664,"L033",20043,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",10/09/18 00:00,2013,01/04/19 00:00,"L033","Event 1218773915","INACTIVE",5000043,-10382760.9046,5613192.7373,30.48715,-97.672885,19/02/19 14:46
1000053,"HIDDEN VALLEY DR",78665,"L033",20053,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",06/05/18 00:00,2013,01/04/19 00:00,"L033","Event 1404761771","INACTIVE",5000053,-10382915.6383,5624794.0225,30.56086,-97.674275,19/02/19 14:46
1000054,"HIDDEN VALLEY DR",78665,"L033",20054,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",20/05/18 00:00,2013,01/04/19 00:00,"L033","Event 1849838309","INACTIVE",5000054,-10382915.6383,5624794.0225,30.56086,-97.674275,19/02/19 14:46
